estimator,support_mm,frame_dt_s,psf_fwhm_mm,sigma_t_s,n_volumes,D_median_mm2_s,D_min_mm2_s,D_max_mm2_s
shell,0.75,2.0,0.80|1.10|2.50,,49,0.13510801431631414,0.01778996266595681,4.432716444784742
shell,0.75,2.0,1.10|1.10|1.10,,57,0.1375596596840437,0.011094884588655454,10.121894127927854
shell,0.75,4.0,0.00|0.00|0.00,,458,0.34305620064768505,0.0010465064063609661,29.928976147664404
shell,0.75,4.0,0.80|1.10|2.50,,244,1.2475019781001175,0.0010153607218714707,76.10056378129008
shell,0.75,4.0,1.10|1.10|1.10,,278,1.1137620053225605,0.0010112271254454994,74.58964065370522
shell,1.0,0.25,0.00|0.00|0.00,,845,1.8486004834325886,0.0010457871364134442,95.85299335687057
shell,1.0,0.25,0.80|1.10|2.50,,617,3.3936406920712208,0.0010114826018139476,93.23164992086744
shell,1.0,0.25,1.10|1.10|1.10,,679,3.4419069349930376,0.0010109318445214587,97.30502365380563
shell,1.0,0.5,0.00|0.00|0.00,,726,0.8956455587819753,0.0010452290184333607,94.80650090717782
shell,1.0,0.5,0.80|1.10|2.50,,483,2.352347431292743,0.0010109119281961195,91.8998722089663
shell,1.0,0.5,1.10|1.10|1.10,,528,2.0064180300637817,0.0010243968243975872,89.32223080743945
shell,1.0,1.0,0.00|0.00|0.00,,476,0.30185861651383017,0.002053037188730653,32.03973703538986
shell,1.0,1.0,0.80|1.10|2.50,,215,0.7203720484550039,0.0010255370376481112,13.554449577922847
shell,1.0,1.0,1.10|1.10|1.10,,267,0.5863739582333225,0.001011297541917874,42.83583336918481
shell,1.0,2.0,0.00|0.00|0.00,,222,0.1015383249127322,0.017476152824235685,0.7620627960194281
shell,1.0,2.0,0.80|1.10|2.50,,60,0.19852855394375962,0.010148092757665822,4.238499435444381
shell,1.0,2.0,1.10|1.10|1.10,,76,0.16885366100096103,0.0010456630103466726,21.888220829512967
shell,1.0,4.0,0.00|0.00|0.00,,548,0.5984421690879225,0.002817523658988929,29.945311888107103
shell,1.0,4.0,0.80|1.10|2.50,,317,1.784378833407794,0.0010103703273624733,76.99901173406286
shell,1.0,4.0,1.10|1.10|1.10,,352,1.4182828441864674,0.0010112861400275335,51.85905977895103
shell,1.5,0.25,0.00|0.00|0.00,,904,3.488432147979366,0.0010113050982625054,68.62169810224718
shell,1.5,0.25,0.80|1.10|2.50,,729,5.888079468060929,0.0010109343718527788,95.86845425187826
shell,1.5,0.25,1.10|1.10|1.10,,790,5.65000617776148,0.0010109216466756444,93.01909116091282
shell,1.5,0.5,0.00|0.00|0.00,,826,1.8945404861274626,0.0010422895192134984,43.33281447892338
shell,1.5,0.5,0.80|1.10|2.50,,628,3.8568137098198267,0.0010109329286511503,93.3177485338747
shell,1.5,0.5,1.10|1.10|1.10,,672,3.4847590681812637,0.001011286585010388,77.87024309289001
shell,1.5,1.0,0.00|0.00|0.00,,592,0.6470419277075441,0.022113205347399502,19.787457208759896
shell,1.5,1.0,0.80|1.10|2.50,,329,1.2009506150055156,0.0010462878635630886,24.568395120933882
shell,1.5,1.0,1.10|1.10|1.10,,374,1.0655352084036542,0.0010112036684569838,55.674975329788836
shell,1.5,2.0,0.00|0.00|0.00,,278,0.20721378301324567,0.017694669578954575,5.463703762240583
shell,1.5,2.0,0.80|1.10|2.50,,84,0.2713596277097141,0.004003847902011778,5.305559608335358
shell,1.5,2.0,1.10|1.10|1.10,,109,0.334265836809236,0.0015246931974654389,94.65478288561769
shell,1.5,4.0,0.00|0.00|0.00,,694,1.271695460804911,0.0010208998392860066,71.20818596041893
shell,1.5,4.0,0.80|1.10|2.50,,469,3.033342175688684,0.001045956453544639,98.98060422718642
shell,1.5,4.0,1.10|1.10|1.10,,516,2.4955071992178923,0.0010557964664848149,83.02902810930071
shell,2.0,0.25,0.00|0.00|0.00,,930,5.684325749565904,0.001011298172652991,78.87831945314986
shell,2.0,0.25,0.80|1.10|2.50,,796,8.313190671048858,0.0010109004438179456,96.7397154848469
shell,2.0,0.25,1.10|1.10|1.10,,829,7.8772873545355715,0.0010113144869599408,98.55542557735161
shell,2.0,0.5,0.00|0.00|0.00,,883,3.1153106435085984,0.0010113918872067854,59.40459855839937
shell,2.0,0.5,0.80|1.10|2.50,,716,6.291660462652736,0.0010111708435166804,96.05197217755688
shell,2.0,0.5,1.10|1.10|1.10,,745,5.206543031258132,0.0010109271060061182,94.59766355220589
shell,2.0,1.0,0.00|0.00|0.00,,710,1.091410226523157,0.0010114318188925078,68.82906146766526
shell,2.0,1.0,0.80|1.10|2.50,,433,1.93128842184436,0.0010112027324592565,54.519403856362494
shell,2.0,1.0,1.10|1.10|1.10,,500,1.7360010194487567,0.0010103790624274574,98.96443914335818
shell,2.0,2.0,0.00|0.00|0.00,,311,0.3463857888220359,0.006030157849338866,3.6572299464202365
shell,2.0,2.0,0.80|1.10|2.50,,97,0.44813002960469905,0.0024043176422164254,5.074576669775316
shell,2.0,2.0,1.10|1.10|1.10,,125,0.5161330027148933,0.0011979574497607002,14.870399330505089
shell,2.0,4.0,0.00|0.00|0.00,,783,2.1505782072011432,0.0010109741008403764,91.83179834142445
shell,2.0,4.0,0.80|1.10|2.50,,595,4.886767618729661,0.0010112034588440077,95.82997655019693
shell,2.0,4.0,1.10|1.10|1.10,,645,4.1914916539120375,0.0010430841297344475,87.22816445927127
