case,arm,windows,n_frames_used,quantity,truth,median,lo,hi,width_post,width_prior,contraction,bias_log,covered
no_ceus,shared,bmode+swe,0,w_bmode,0.00035,0.0003824590523529822,0.00029314891156378,0.000498196985183946,0.5303148408878124,2.124634963304377,0.24960280238588875,0.08868844038064293,True
no_ceus,shared,bmode+swe,0,w_swe,0.0006325345840347388,0.0006683553369244296,0.0005730925905374737,0.0008040351128668173,0.338595648213996,1.2149747504255828,0.2786853373663875,0.0550850761868909,True
no_ceus,shared,bmode+swe,0,w_ceus,0.000875,0.0009561476308824555,0.00073287227890945,0.0012454924629598653,0.5303148408878133,2.124634963304377,0.24960280238588917,0.08868844038064293,True
no_ceus,shared_calibrated,bmode+swe,0,sig_e,0.0005999999999999997,0.0005749609997924714,0.0004978045103137271,0.0006640762476700333,0.2881895233261704,3.688879454113936,0.07812386577305307,-0.042627443166988854,True
no_ceus,shared_calibrated,bmode+swe,0,R,0.005000000000000002,0.005020076246189031,0.0049945748934763215,0.005045707803975054,0.010185640009101297,1.7917594692280547,0.005684713927304978,0.004007209638063891,True
no_ceus,shared_calibrated,bmode+swe,0,x_c,0.012,0.01199714176819601,0.011974120286095338,0.012020163250296681,4.604296420134294e-05,0.006,0.00767382736689049,-2.858231803990613e-06,True
no_ceus,shared_calibrated,bmode+swe,0,c_s,2.0,1.9986176065828958,1.9921683207614385,2.0050877708046237,0.006464181795962689,1.6094379124341003,0.004016421973175912,-0.0006914356951278622,True
no_ceus,shared_calibrated,bmode+swe,0,alpha0,40.0,39.02850294456089,35.39597707828102,43.033818185746554,0.19538810419896355,4.382026634673881,0.04458852501098609,-0.02458723018891895,True
no_ceus,shared_calibrated,bmode+swe,0,w0,0.00035000000000000005,0.0003829521232035189,0.00028933432917362795,0.0005068611425576041,0.5606542176914058,2.120263536200092,0.2644266658927705,0.08997682219289782,True
no_ceus,shared_calibrated,bmode+swe,0,gamma_swe,1.0,1.0009238460762941,0.9102769761052482,1.1005974796052904,0.1898595520578501,0.19062035960864981,0.9960087812636506,0.0009234195931575473,True
no_ceus,shared_calibrated,bmode+swe,0,gamma_ceus,1.0,1.0,0.9090909090909091,1.1,0.19062035960864981,0.19062035960864981,1.0,2.0816681711721685e-17,True
no_ceus,shared_calibrated,bmode+swe,0,w_bmode,0.00035,0.0003824174074143553,0.0002898741365272406,0.0005087493655867901,0.5625086729571436,2.122382051854519,0.2650364822231833,0.08857954713877046,True
no_ceus,shared_calibrated,bmode+swe,0,w_swe,0.0006325345840347388,0.0006691145307376803,0.0005738271997205212,0.0008085752053127744,0.3429453877994062,1.215425063557257,0.28216086543063995,0.05622034497035523,True
no_ceus,shared_calibrated,bmode+swe,0,w_ceus,0.000875,0.0009568133365600903,0.0007122047888256942,0.0012943076729098433,0.5973657208510819,2.132712287230963,0.2800967221071718,0.08938443545407883,True
no_ceus,oracle,bmode+swe,0,sig_e,0.0005999999999999997,0.0005955587202330235,0.0005563217530045297,0.0006375630421244895,0.13630634242350478,3.688879454113936,0.03695060901800202,-0.007429664677529146,True
no_ceus,oracle,bmode+swe,0,R,0.005000000000000002,0.005020078556558952,0.004994577816791515,0.0050457094950644085,0.010185389865156588,1.7917594692280547,0.005684574319311269,0.004007669864019903,True
no_ceus,oracle,bmode+swe,0,x_c,0.012,0.011997142429435543,0.011974121387099147,0.01202016347177194,4.604208467279237e-05,0.006,0.007673680778798728,-2.8575705644569988e-06,True
no_ceus,oracle,bmode+swe,0,c_s,2.0,1.9985950225475302,1.9921462609523948,2.0050646593800545,0.006463728666028486,1.6094379124341003,0.004016140427717896,-0.0007027355870582452,True
no_ceus,oracle,bmode+swe,0,alpha0,40.0,39.57823234471095,36.32148136670251,43.12699858568943,0.171739878864162,4.382026634673881,0.03919188384324898,-0.01060017525235768,True
no_ceus,oracle,bmode+swe,0,w0,0.00035,0.00035,0.00035,0.00035,0.0,nan,0.0,0.0,True
no_ceus,oracle,bmode+swe,0,w_bmode,0.00035,0.00035,0.00035,0.00035,0.0,nan,0.0,0.0,True
no_ceus,oracle,bmode+swe,0,w_swe,0.0006325345840347388,0.0006325345840347388,0.0006325345840347388,0.0006325345840347388,0.0,nan,0.0,0.0,True
no_ceus,oracle,bmode+swe,0,w_ceus,0.000875,0.000875,0.000875,0.000875,0.0,nan,0.0,0.0,True
no_swe,independent,bmode+ceus,0,sig_e,0.0005999999999999997,0.0005988381020095874,0.00042179551458447386,0.000850191763588861,0.7009412942601605,3.688879454113936,0.190014692260668,-0.0019383740844807207,True
