config,windows,level,normalized,richer,quantity,truth,median,lo,hi,width_post,width_prior,contraction,bias_log,covered
E4_joint_constitutive,swe+ceus,constitutive,False,False,t0,4.0,3.9974326560112523,3.965854356542049,4.029010955480455,0.06315659893840643,13.499999999999998,0.004678266588030106,-0.0025673439887476945,True
E5_joint_network,swe+ceus,network,False,False,mu,2999.9999999999977,3009.5387854352566,2999.4094647272195,3019.7023139229295,0.006742830778940272,2.302585092994047,0.0029283741997011637,0.0031745509220062473,True
E5_joint_network,swe+ceus,network,False,False,eta_s,1.5,1.488150202275214,1.4684916588198478,1.5080719125851318,0.026596164267222073,4.605170185988092,0.005775283690523494,-0.007931234402347664,True
E5_joint_network,swe+ceus,network,False,False,phi,0.028000000000000004,0.028022598211738473,0.025396228529703767,0.03092057584920811,0.19682116747097755,2.9957322735539917,0.065700519772242,0.0008067534775424434,True
E5_joint_network,swe+ceus,network,False,False,k,3.4999999999999997e-13,5.118640096522638e-13,9.557015803564284e-14,2.741491379344359e-12,3.3563967334477827,6.907755278982139,0.48588819347149037,0.3801258291285663,True
E5_joint_network,swe+ceus,network,False,False,D,1.0000000000000004e-06,9.948856444516585e-07,9.689744554356554e-07,1.0214897203775866e-06,0.05277910118098807,4.605170185988092,0.011460836201358258,-0.005127478627864335,True
E5_joint_network,swe+ceus,network,False,False,vmag,0.0010488088481701513,0.0010475165975021873,0.0010393392505400414,0.0010557582824591745,0.01567408467362829,4.605170185988091,0.0034035842413205498,-0.0012328723427117438,True
E5_joint_network,swe+ceus,network,False,False,S_v,2.800000000000001e-05,2.802259821173849e-05,2.7963755622921833e-06,0.0002808156461976976,4.609374254047747,5.493815094879564,0.8390115383285928,0.0008067534775424434,True
E5_joint_network,swe+ceus,network,False,False,C_v,0.0010000000000000002,0.0010000000000000002,0.00010000000000000009,0.009999999999999995,4.605170185988091,4.605170185988091,1.0,0.0,True
E5_joint_network,swe+ceus,network,False,False,A,1.0,1.001497244640073,0.9107253639336998,1.1013163471031597,0.19002003730465045,0.19062035960864981,0.9968506915775847,0.0014961248868737714,True
E5_joint_network,swe+ceus,network,False,False,t0,4.0,3.997363667875297,3.9657889733756293,4.028938362374965,0.06314938899933525,13.499999999999998,0.004677732518469279,-0.0026363321247031557,True
E4_joint_constitutive_Cvcal,swe+ceus,constitutive,False,False,mu,2999.9999999999977,3009.5961418124716,2999.4645753584887,3019.7619305872163,0.006744199489003125,2.302585092994047,0.0029289686229287864,0.0031936089354616115,True
E4_joint_constitutive_Cvcal,swe+ceus,constitutive,False,False,eta_s,1.5,1.4883312890491311,1.4686573933545504,1.5082687330522233,0.026613813061501405,4.605170185988092,0.005779116077507374,-0.007809555987972616,True
E4_joint_constitutive_Cvcal,swe+ceus,constitutive,False,False,phi,0.028000000000000004,0.028040620140097672,0.025409291472041462,0.03094444324456715,0.19707853013623214,2.995732273553991,0.06578642954045681,0.0014496680125897221,True
