scenario,configuration,quantity,n_replicates,truth,contraction_median,contraction_min,contraction_max,coverage,absolute_bias_log_median,rank_min,n_par,least_fisher_eigenvalue_median,least_informed_contraction_median
L8_02,E8_relax_constitutive_Cvcal,C_v,5,0.0025000000000000005,0.9579074371710292,0.9576969527429905,0.9580873335935748,1.0,0.044007854073008446,15,16,0.0,1.0
L8_02,E8_relax_constitutive_Cvcal,D,5,2.9999999999999997e-06,0.022108165685146775,0.022017111710318508,0.02231717853473841,1.0,0.02116180405638879,15,16,0.0,1.0
L8_02,E8_relax_constitutive_Cvcal,S_v,5,3e-05,0.25795942836955044,0.2579514157655167,0.25801792415300284,1.0,0.04609063689831672,15,16,0.0,1.0
L8_02,E8_relax_constitutive_Cvcal,eta_s,5,0.5,0.004241720395697922,0.0037755046346521653,0.0044724190565425094,0.8,0.0030694859315824052,15,16,0.0,1.0
L8_02,E8_relax_constitutive_Cvcal,k,5,1.9999999999999983e-12,0.14489034025921893,0.14309211037686648,0.14735941048869491,1.0,0.07126379242209069,15,16,0.0,1.0
L8_02,E8_relax_constitutive_Cvcal,mu,5,1999.9999999999998,0.0013203856137881237,0.0013182381479113698,0.0013229775997212097,0.6,0.0007362421731968993,15,16,0.0,1.0
L8_02,E8_relax_constitutive_Cvcal,phi,5,0.011999999999999999,0.07083277466292731,0.07076671344312534,0.0711525685279181,1.0,0.019204846398045206,15,16,0.0,1.0
L8_02,E8_relax_constitutive_Cvcal,vmag,5,0.002999999999999999,0.006163366124738811,0.006082775245781153,0.006202116785764899,1.0,0.010879958311317495,15,16,0.0,1.0
L8_02,E8_relax_constitutive_Cvcal_norm,C_v,5,0.0025000000000000005,0.9803319058119757,0.9803158242831059,0.9803764774865849,1.0,0.04409986760425344,12,16,0.0,1.0
L8_02,E8_relax_constitutive_Cvcal_norm,D,5,2.9999999999999997e-06,0.029054242798637112,0.028472056751632183,0.029484235300427753,1.0,0.019684278391316923,12,16,0.0,1.0
L8_02,E8_relax_constitutive_Cvcal_norm,S_v,5,3e-05,0.6553786087496509,0.6546918161096741,0.6565974281572604,1.0,0.045158689918793016,12,16,0.0,1.0
L8_02,E8_relax_constitutive_Cvcal_norm,eta_s,5,0.5,0.004331936299099134,0.003909417835000157,0.004550681847892869,0.8,0.0030754566988976384,12,16,0.0,1.0
L8_02,E8_relax_constitutive_Cvcal_norm,k,5,1.9999999999999983e-12,0.2990095636756001,0.29859540653310196,0.30007596859029456,1.0,0.05996977935670955,12,16,0.0,1.0
L8_02,E8_relax_constitutive_Cvcal_norm,mu,5,1999.9999999999998,0.0013280562644247364,0.0013248863752122547,0.0013297263679978545,0.6,0.0007492318529500608,12,16,0.0,1.0
L8_02,E8_relax_constitutive_Cvcal_norm,phi,5,0.011999999999999999,0.6843847375128875,0.6837003486050257,0.6855090341471125,1.0,0.03240192976322298,12,16,0.0,1.0
L8_02,E8_relax_constitutive_Cvcal_norm,vmag,5,0.002999999999999999,0.005952088903732971,0.005800376452391431,0.006114897229511154,1.0,0.006887371430485345,12,16,0.0,1.0
