scenario,configuration,replicate,seed,windows,level,quantity,truth,median,lo,hi,contraction,bias_log,covered,rank,n_par,least_fisher_eigenvalue,least_informed_contraction
reference,E2_ceus_Acal,3,3,ceus,independent,vmag,0.0010488088481701513,0.0010472028441497465,0.0010390243952413216,0.001055445667895619,0.003405068594240562,-0.0015324383357020466,True,6,9,0.0,1.0
reference,E2_ceus_Acal,3,3,ceus,independent,S_v,2.8000000000000023e-05,2.2360679774997884e-05,1.4338978448964585e-06,0.0003486998755034075,1.0,-0.22490046096410943,True,6,9,0.0,1.0
reference,E2_ceus_Acal,4,4,ceus,independent,phi,0.028000000000000004,0.027598729757719428,0.0250097725530018,0.030455690175727163,0.06576228367040478,-0.014434761782238237,True,6,9,0.0,1.0
reference,E2_ceus_Acal,4,4,ceus,independent,k,3.4999999999999997e-13,3.162277660168375e-13,9.999999999999987e-15,9.999999999999985e-12,1.0,-0.10147042199834644,True,6,9,0.0,1.0
reference,E2_ceus_Acal,4,4,ceus,independent,D,1.0000000000000004e-06,9.826584621359797e-07,9.570630834094171e-07,1.0089383552101466e-06,0.011462033814464498,-0.017493663626913403,True,6,9,0.0,1.0
reference,E2_ceus_Acal,4,4,ceus,independent,vmag,0.0010488088481701513,0.0010508289682365046,0.001042646312109631,0.001059075841596502,0.0033950250417529664,0.0019242563397394719,True,6,9,0.0,1.0
reference,E2_ceus_Acal,4,4,ceus,independent,S_v,2.8000000000000023e-05,2.2360679774997884e-05,1.4338978448964585e-06,0.0003486998755034075,1.0,-0.22490046096410943,True,6,9,0.0,1.0
reference,E3_joint_independent,0,0,swe+ceus,independent,mu,2999.9999999999977,3009.5961485033613,2999.4645820313935,3019.761937296136,0.0029289686216141587,0.003193611158646803,True,12,13,0.0,1.0
reference,E3_joint_independent,0,0,swe+ceus,independent,eta_s,1.5,1.4883312694732653,1.4686573697092147,1.5082687176590983,0.005779117357404331,-0.007809569140868167,True,12,13,0.0,1.0
reference,E3_joint_independent,0,0,swe+ceus,independent,phi,0.028000000000000004,0.028040621478243925,0.0254092926843191,0.030944444721650644,0.06578642954826357,0.0014497157342954203,True,12,13,0.0,1.0
reference,E3_joint_independent,0,0,swe+ceus,independent,k,3.4999999999999997e-13,3.193687979537769e-13,1.0125800118806994e-14,1.0072925389569851e-11,0.999242088959781,-0.09158661303685989,True,12,13,0.0,1.0
reference,E3_joint_independent,0,0,swe+ceus,independent,D,1.0000000000000004e-06,9.949490484879548e-07,9.690316173407988e-07,1.0215596595326984e-06,0.0114628936775557,-0.005063750684490387,True,12,13,0.0,1.0
reference,E3_joint_independent,0,0,swe+ceus,independent,vmag,0.0010488088481701513,0.0010475233184292522,0.0010393457109180596,0.001055765267635325,0.0034036711894509107,-0.0012264563054671385,True,12,13,0.0,1.0
reference,E3_joint_independent,0,0,swe+ceus,independent,S_v,2.8000000000000023e-05,2.2360679774997884e-05,1.4338978448964585e-06,0.0003486998755034075,1.0,-0.22490046096410943,True,12,13,0.0,1.0
reference,E3_joint_independent,1,1,swe+ceus,independent,mu,2999.9999999999977,2993.5351435133166,2983.4944786860947,3003.6095992360447,0.002918245152918718,-0.00215727741277405,True,12,13,0.0,1.0
reference,E3_joint_independent,1,1,swe+ceus,independent,eta_s,1.5,1.471606855577898,1.452056512391826,1.4914204226229806,0.005808283411941782,-0.019110205282671044,False,12,13,0.0,1.0
reference,E3_joint_independent,1,1,swe+ceus,independent,phi,0.028000000000000004,0.02733437379076155,0.02476954827518261,0.030164780650508788,0.0657802552605662,-0.024059486787867623,True,12,13,0.0,1.0
reference,E3_joint_independent,1,1,swe+ceus,independent,k,3.4999999999999997e-13,3.12119726357709e-13,9.893840643127744e-15,9.846401119193098e-12,0.9993042042956533,-0.11454630195670745,True,12,13,0.0,1.0
reference,E3_joint_independent,1,1,swe+ceus,independent,D,1.0000000000000004e-06,9.774722739394807e-07,9.519095777476113e-07,1.0037214339004654e-06,0.011508750907313889,-0.022785351781175578,True,12,13,0.0,1.0
reference,E3_joint_independent,1,1,swe+ceus,independent,vmag,0.0010488088481701513,0.0010542575982648874,0.0010460225703999302,0.0010625574580807563,0.0034056841950164765,0.005181730986862476,True,12,13,0.0,1.0
reference,E3_joint_independent,1,1,swe+ceus,independent,S_v,2.8000000000000023e-05,2.2360679774997884e-05,1.4338978448964585e-06,0.0003486998755034075,1.0,-0.22490046096410943,True,12,13,0.0,1.0
reference,E3_joint_independent,2,2,swe+ceus,independent,mu,2999.9999999999977,3002.9742558428343,2992.8132457044617,3013.169763999812,0.0029439834931341263,0.0009909274834285497,True,12,13,0.0,1.0
reference,E3_joint_independent,2,2,swe+ceus,independent,eta_s,1.5,1.493801595741714,1.4737206312335094,1.514156184115279,0.0058777556017218765,-0.004140830924691141,True,12,13,0.0,1.0
reference,E3_joint_independent,2,2,swe+ceus,independent,phi,0.028000000000000004,0.027795818207054745,0.025188780359030435,0.030672684377219095,0.06575147887325603,-0.007318925000132204,True,12,13,0.0,1.0
reference,E3_joint_independent,2,2,swe+ceus,independent,k,3.4999999999999997e-13,3.3666864108362923e-13,1.0673576450749277e-14,1.0619287210065449e-11,0.9992618006006923,-0.038833968728621215,True,12,13,0.0,1.0
reference,E3_joint_independent,2,2,swe+ceus,independent,D,1.0000000000000004e-06,9.920438397585175e-07,9.66193563899281e-07,1.0185857335160371e-06,0.01146672444225962,-0.007987979368802911,True,12,13,0.0,1.0
reference,E3_joint_independent,2,2,swe+ceus,independent,vmag,0.0010488088481701513,0.00104442415678689,0.001036282697709261,0.0010526295784840432,0.0033986611705644817,-0.004189402504056083,True,12,13,0.0,1.0
reference,E3_joint_independent,2,2,swe+ceus,independent,S_v,2.8000000000000023e-05,2.2360679774997884e-05,1.4338978448964585e-06,0.0003486998755034075,1.0,-0.22490046096410943,True,12,13,0.0,1.0
reference,E3_joint_independent,3,3,swe+ceus,independent,mu,2999.9999999999977,2992.655172174676,2982.474499697663,3002.8705963627585,0.002959878295671366,-0.002451277870017421,True,12,13,0.0,1.0
reference,E3_joint_independent,3,3,swe+ceus,independent,eta_s,1.5,1.4936478418615275,1.4734297229745472,1.5141433898820147,0.005918789233854285,-0.004243764134797934,True,12,13,0.0,1.0
reference,E3_joint_independent,3,3,swe+ceus,independent,phi,0.028000000000000004,0.027751779800775388,0.02514795612889547,0.030625203820273696,0.0657758037777532,-0.008904535074568898,True,12,13,0.0,1.0
reference,E3_joint_independent,3,3,swe+ceus,independent,k,3.4999999999999997e-13,3.6759771080222745e-13,1.1658737565899663e-14,1.1590283787008863e-11,0.999147514386453,0.04905600856363179,True,12,13,0.0,1.0
reference,E3_joint_independent,3,3,swe+ceus,independent,D,1.0000000000000004e-06,9.884932100354804e-07,9.627011429435615e-07,1.014976281526584e-06,0.011482203068040148,-0.011573505352588498,True,12,13,0.0,1.0
reference,E3_joint_independent,3,3,swe+ceus,independent,vmag,0.0010488088481701513,0.0010465944170917453,0.0010384176680554077,0.0010548355518053111,0.003406344948058477,-0.002113609288963758,True,12,13,0.0,1.0
reference,E3_joint_independent,3,3,swe+ceus,independent,S_v,2.8000000000000023e-05,2.2360679774997884e-05,1.4338978448964585e-06,0.0003486998755034075,1.0,-0.22490046096410943,True,12,13,0.0,1.0
reference,E3_joint_independent,4,4,swe+ceus,independent,mu,2999.9999999999977,2995.262174826562,2985.15045181775,3005.40814969097,0.0029372352472927556,-0.0015805234271848434,True,12,13,0.0,1.0
reference,E3_joint_independent,4,4,swe+ceus,independent,eta_s,1.5,1.497142396807375,1.4777111625309447,1.516829143037074,0.005673555132632086,-0.0019068857466189026,True,12,13,0.0,1.0
